id;medio;ola;anexo;poblado;bienestar;corona;edad;sexo;origen;estado.civil;religion;jefehogar;vinculo.jefe;educ;educ.hoy;educ.hoy.tipo;personas.hogar;joven.estudiando.hogar;tiempo.escuela;tiempo.salud;trabaja.fuera.hogar;tiempo.trabajo;agua.potable;electricidad;internet.fijo;empleo;empleado.act.agropecuarias;empleado.no.agropecuario;cp.act.agropecuaria;cp.act.no.agropecuaria;jornalero;patron.agrop;patron.no.agrop;empl.domestico;empl.gob;empl.principal;pago.justo;lab.no.remuneradas;act.no.remuneradas;vivir.bien;juventud.aporta;educ.formal.trabajo;condiciones.prod.agricola;trabajo.infantil;empleo.calidad;capacidades.humanas;nuevos.empleos;acceso.tecnologia;preocupacion.alimentos;alimentacion.saludable;comido.menos;querer.estudiar;educacion.sirve;acceso.educacion;vida.saludable;acceso.salud;salud.mental;acceso.transporte;caminos;vivienda.apropiada;acceso.internet;cobertura.internet;sistema.salud;decisiones.economicas;labores.hogar;comunidad.valora;mujeres.violencia;mujer.trabaja;mismo.trabajo;salud.reproductiva;mismas.oportunidades;igual.salario;servicios.salud;transporte;act.comunitarias;trato.trabajo;trato.fam;caminar.solo;apoyo.comunidad;tiempo.familia;visiones;espacios.abiertos;juventud.participa;juventud.surge;municipios.trabajan;instituciones.presentes;comunicacion.autoridades;empresa.aporta.bienestar;estado.dialogante;empresa.dialogante;soluciones.colectivas;confianza.familia;confianza.municipalidad;confianza.gobernadores;confianza.jueces;confianza.policia;confianza.vecinos;confianza.com.campesinas;confianza.empresa;participa.org.local;org.local;valoran.formas.vida;intercambian.saberes;recursos.distribuyen.equitativa;politicas.reconocen.comunidades;condicion.bosques;condicion.tierra;condicion.rios;condicion.aire;condicion.mar;prod.respeta.ambiente;prod.adecuada.salud;tiempo.descanso;espacios.recreativos;disfrutan.naturaleza;preocupacion.mediambiente
303;Presencial;Ola 1;;Miramar ;Regular;Mucho;37;Mujer;Mestizo/a;Soltero/a;NA;No;Hijo/a;Secundaria;No;;7;No;;00:20:00.000-05:00;No;;Si;Si;No;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;NA;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;No;No;No;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;NS/NR;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;Muy en desacuerdo;De manera compartida;De algunas tareas;Muy en desacuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy malo;Regular;Bueno;NS/NR;Bueno;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;En desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Confia;No confia;No confia;No confia ni mucho ni poco;No confia ni mucho ni poco;Confia;Confia;No confia ni mucho ni poco;Si;Comunidad campesina ;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy en desacuerdo;En desacuerdo;Mala;Mala;Mala;Mala;Mala;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo
304;Presencial;Ola 1;;;Buena;Mucho;49;Hombre;Mestizo/a;Casado/a;NA;Si;;Secundaria;No;;5;No;;00:25:00.000-05:00;Si;00:10:00.000-05:00;Si;Si;No;Si;0;0;1;0;0;0;0;0;0;Trabajador/a por cuenta propia en actividades agropecuarias;En desacuerdo;No;NA;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;NS/NR;En desacuerdo;De acuerdo;Muy en desacuerdo;En desacuerdo;Si;No;Si;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De manera compartida;De algunas tareas;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;NS/NR;En desacuerdo;En desacuerdo;Malo;Regular;Bueno;Bueno;Bueno;Muy de acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;NS/NR;De acuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;NS/NR;En desacuerdo;NS/NR;Ni de acuerdo ni en desacuerdo;Confia mucho;Confia poco;No confia ni mucho ni poco;No confia ni mucho ni poco;Confia poco;Confia;Confia;No confia ni mucho ni poco;No;;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;Regular;Mala;Muy mala;Regular;NS/NR;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo
305;Presencial;Ola 1;;Miramar ;Mala;Demasiado;42;Mujer;Mestizo/a;Union libre;NA;Si;;Profesional o tecnico;Si;Orientacion judicial;3;Si;01:00:00.000-05:00;00:02:00.000-05:00;Si;00:05:00.000-05:00;Si;Si;Si;Si;0;0;1;0;0;0;0;0;0;Trabajador/a por cuenta propia en actividades agropecuarias;Ni de acuerdo ni en desacuerdo;No;NA;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;Muy en desacuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;No;No;No;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;En desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Usted;De todas las tareas;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;Muy malo;Regular;Regular;Bueno;Bueno;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Confia mucho;Confia poco;Confia poco;Confia poco;Confia poco;Confia;No confia ni mucho ni poco;Confia poco;Si;Comunidad campesina ;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;En desacuerdo;Mala;Mala;Regular;Mala;Regular;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo
306;Presencial;Base;Pueblo Nuevo de Colan;Pueblo Nuevo de Colan;Buena;Mucho;42;Hombre;Mestizo/a;Union libre;NA;Si;;Secundaria;No;;5;Si;00:10:00.000-05:00;00:20:00.000-05:00;Si;00:45:00.000-05:00;Si;Si;Si;Si;0;0;0;0;1;0;0;0;0;Jornalero/a o peon;Ni de acuerdo ni en desacuerdo;No;NA;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;NS/NR;Ni de acuerdo ni en desacuerdo;Si;Si;Si;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;NA;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De manera compartida;De algunas tareas;De acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Regular;Bueno;Bueno;Bueno;Muy bueno;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Confia mucho;Confia;Confia;Confia;Confia;Confia;Confia;No confia ni mucho ni poco;No;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Muy buena;Muy buena;Buena;Buena;Muy buena;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
307;telefonico;Base;Pueblo Nuevo de Colan;Pueblo Nuevo de Colan;Regular;Mucho;19;Mujer;Mestizo/a;Soltero/a;NA;No;Hijo/a;Profesional o tecnico;Si;Administracion de empresas;8;Si;00:10:00.000-05:00;00:15:00.000-05:00;Si;00:15:00.000-05:00;Si;Si;No;Si;0;1;0;0;0;0;0;0;0;Empleado/a en empresa o negocio en actividades no agropecuarias;Muy de acuerdo;No;NA;De acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Si;No;No;Muy en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;Otra mujer dentro del hogar;De algunas tareas;En desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Regular;Bueno;Bueno;Muy bueno;Bueno;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Confia mucho;No confia ni mucho ni poco;No confia ni mucho ni poco;Confia mucho;Confia;Confia poco;No confia ni mucho ni poco;No confia ni mucho ni poco;No;;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Regular;Buena;Regular;Buena;Regular;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo
308;telefonico;Base;Pueblo Nuevo de Colan;Pueblo Nuevo de Colan;Buena;Mucho;51;Hombre;Mestizo/a;Casado/a;NA;Si;;Secundaria;No;;4;Si;00:08:00.000-05:00;00:02:00.000-05:00;Si;00:05:00.000-05:00;Si;Si;Si;Si;0;1;0;0;0;0;0;0;0;Empleado/a en empresa o negocio en actividades no agropecuarias;Ni de acuerdo ni en desacuerdo;No;NA;De acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;No;No;No;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Usted;De algunas tareas;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;De acuerdo;Regular;Regular;Bueno;Muy bueno;Muy bueno;De acuerdo;Muy de acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Confia mucho;No confia ni mucho ni poco;Confia poco;No confia ni mucho ni poco;No confia;Confia mucho;Confia;No confia ni mucho ni poco;Si;Club deportivo;Muy de acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Mala;Mala;Regular;Muy mala;Mala;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo
309;telefonico;Base;Pueblo Nuevo de Colan;Pueblo Nuevo de Colan;Muy Buena;Poco;18;Hombre;Mestizo/a;Soltero/a;Ninguna;Si;;Profesional o tecnico;Si;Administracion de empresas;4;Si;00:05:00.000-05:00;00:15:00.000-05:00;Si;00:05:00.000-05:00;Si;Si;No;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Si;Actividades comunitarias;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;No;No;No;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;Muy de acuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Usted;De algunas tareas;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Regular;Bueno;Bueno;Muy bueno;Muy bueno;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;En desacuerdo;Muy de acuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;Confia mucho;No confia;No confia;No confia ni mucho ni poco;Confia poco;No confia;No confia;No confia;No;;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;En desacuerdo;Regular;Muy mala;Regular;Muy mala;Muy mala;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;En desacuerdo
310;telefonico;Base;Pueblo Nuevo de Colan;Pueblo Nuevo de Colan;Regular;Poco;20;Mujer;Mestizo/a;Soltero/a;NA;No;Hijo/a;Profesional o tecnico;Si;Enfermeria;3;No;;00:15:00.000-05:00;No;;Si;Si;Si;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;NA;De acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Si;No;No;De acuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;Otra mujer dentro del hogar;De algunas tareas;Muy en desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Regular;Bueno;Bueno;NS/NR;Bueno;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;Confia mucho;No confia ni mucho ni poco;No confia ni mucho ni poco;Confia;Confia;Confia;No confia ni mucho ni poco;No confia ni mucho ni poco;No;;Muy de acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;Buena;Regular;Regular;Buena;Regular;Muy de acuerdo;Muy de acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo
311;telefonico;Base;Pueblo Nuevo de Colan;Pueblo Nuevo de Colan;Buena;Demasiado;20;Hombre;Mestizo/a;Soltero/a;NA;No;Hijo/a;Profesional o tecnico;Si;Contabilidad;8;Si;00:15:00.000-05:00;00:05:00.000-05:00;Si;00:05:00.000-05:00;Si;Si;Si;Si;0;1;0;0;0;0;0;0;0;Empleado/a en empresa o negocio en actividades no agropecuarias;Muy de acuerdo;No;NA;De acuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Si;No;No;De acuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Otro hombre dentro del hogar;De algunas tareas;De acuerdo;De acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Bueno;Bueno;Bueno;Muy bueno;Muy bueno;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;Confia mucho;No confia;No confia;No confia ni mucho ni poco;No confia;No confia;Confia mucho;No confia ni mucho ni poco;Si;Club deportivo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Buena;Buena;Mala;Regular;Regular;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo
312;Presencial;Ola 1;;;Regular;Ni mucho ni poco;61;Mujer;Mestizo/a;Soltero/a;NA;Si;;Primaria;No;;2;No;;00:15:00.000-05:00;Si;00:05:00.000-05:00;Si;Si;No;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;NA;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Si;Si;Si;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;Usted;De todas las tareas;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;Regular;Regular;NS/NR;Muy bueno;Muy bueno;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;No confia ni mucho ni poco;No confia;No confia ni mucho ni poco;No confia ni mucho ni poco;No confia ni mucho ni poco;Confia;No confia ni mucho ni poco;No confia;Si;Iglesia;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;Regular;Regular;Regular;Regular;Regular;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo
